City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,75.88,light rain,-23.12,-134.97,People ThankYou
4,The Valley,AI,78.66,clear sky,18.22,-63.06,CeBlue Villas & Beach Resort
5,Richards Bay,ZA,77.34,overcast clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
11,Acapulco,MX,76.41,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
19,Tuy Hoa,VN,76.87,overcast clouds,13.08,109.30,CenDeluxe Hotel Tuy Hoa
20,Eyl,SO,86.59,scattered clouds,7.98,49.82,Amiin Hotel
26,Vaini,TO,80.76,light rain,-21.20,-175.20,Keleti Beach Resort
29,Busselton,AU,82.08,overcast clouds,-33.65,115.33,Observatory Guest House
31,Saint-Philippe,RE,83.75,light rain,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
39,Dingle,PH,83.93,overcast clouds,11.00,122.67,SEGAYA PROPERTY
42,East London,ZA,76.14,clear sky,-33.02,27.91,Tu Casa
48,Maceio,BR,76.44,few clouds,-9.67,-35.74,Poutur Pousada
60,Victoria,HK,78.76,overcast clouds,22.29,114.16,Mini Hotel Central
62,Geraldton,AU,88.21,clear sky,-28.77,114.60,Broadwater Mariner Resort
64,Dzaoudzi,YT,82.29,light rain,-12.79,45.27,Le Rocher
65,Roura,GF,75.11,clear sky,4.73,-52.33,Amazonie Découverte SARL
66,Butaritari,KI,82.22,broken clouds,3.07,172.79,Isles Sunset Lodge
72,Port Alfred,ZA,77.45,clear sky,-33.59,26.89,The Halyards Hotel
78,Hithadhoo,MV,82.15,broken clouds,-0.60,73.08,Scoop Guest House
92,Banda Aceh,ID,79.97,light rain,5.56,95.32,Sulthan Hotel International
95,Hobyo,SO,83.34,scattered clouds,5.35,48.53,Halane Hotel and Restaurent
96,Avarua,CK,75.25,broken clouds,-21.21,-159.78,Paradise Inn
98,Lorengau,PG,84.81,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
100,Caraballeda,VE,77.07,scattered clouds,10.61,-66.85,Hotel 15 Letras
112,Kapaa,US,75.18,clear sky,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
113,Quatre Cocos,MU,84.31,clear sky,-20.21,57.76,Sunrise Attitude Hotel
116,Mushabani,IN,75.31,overcast clouds,22.52,86.45,"ZEE NEWS REPOTER,HOME"
118,Vila Velha,BR,75.15,clear sky,-20.33,-40.29,Quality Suites Vila Velha
119,Benguela,AO,75.92,light rain,-12.58,13.41,Hotel Praia Morena
124,Mayumba,GA,77.50,broken clouds,-3.43,10.66,LIKWALE LODGE
125,Souillac,MU,84.58,few clouds,-20.52,57.52,Shanti Maurice Resort & Spa
