City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Puerto Ayora,EC,2021-11-23 07:17:46,-0.7393,-90.3518,67.44,75,10,6.29
1,Ushuaia,AR,2021-11-23 07:14:06,-54.8,-68.3,35.26,80,20,6.91
2,Fagernes,NO,2021-11-23 07:17:47,60.9858,9.2324,23.63,95,100,3.04
3,Butaritari,KI,2021-11-23 07:17:48,3.0707,172.7902,82.17,77,33,12.17
4,Port Alfred,ZA,2021-11-23 07:17:49,-33.5906,26.891,64.96,72,63,23.31
5,Calvinia,ZA,2021-11-23 07:17:50,-31.4707,19.776,66.02,59,20,4.61
6,Geraldton,AU,2021-11-23 07:17:51,-28.7667,114.6,75.61,53,0,20.71
7,Hualmay,PE,2021-11-23 07:17:51,-11.0964,-77.6139,64.04,87,93,6.55
8,Avarua,CK,2021-11-23 07:17:52,-21.2078,-159.775,75.25,78,90,5.75
9,Hilo,US,2021-11-23 07:16:40,19.7297,-155.09,71.4,83,90,5.75
10,Ancud,CL,2021-11-23 07:17:54,-41.8697,-73.8203,45.43,92,19,2.95
11,Vaini,TO,2021-11-23 07:17:55,-21.2,-175.2,77.16,94,40,4.61
12,Busselton,AU,2021-11-23 07:17:55,-33.65,115.3333,76.08,43,0,14.36
13,Arraial Do Cabo,BR,2021-11-23 07:17:56,-22.9661,-42.0278,68.7,77,4,15.1
14,Mehamn,NO,2021-11-23 07:13:17,71.0357,27.8492,26.78,66,100,12.35
15,Sao Filipe,CV,2021-11-23 07:13:51,14.8961,-24.4956,79.99,63,16,7.34
16,Lingyuan,CN,2021-11-23 07:17:58,41.24,119.4011,33.87,27,0,8.84
17,Kaitangata,NZ,2021-11-23 07:17:59,-46.2817,169.8464,54.63,71,50,2.91
18,Tiksi,RU,2021-11-23 07:18:00,71.6872,128.8694,-20.79,97,57,7.27
19,Brownsville,US,2021-11-23 07:14:58,25.9018,-97.4975,60.75,88,1,4.61
20,Berlevag,NO,2021-11-23 07:18:02,70.8578,29.0864,22.95,54,20,14.97
21,Jalu,LY,2021-11-23 07:18:03,29.0331,21.5482,64.51,43,100,11.27
22,Bluff,NZ,2021-11-23 07:18:04,-46.6,168.3333,55.53,75,6,12.12
23,Sampit,ID,2021-11-23 07:18:06,-2.5333,112.95,88.11,70,100,2.89
24,Iranshahr,IR,2021-11-23 07:18:07,27.2025,60.6848,80.94,16,0,0.0
25,Thompson,CA,2021-11-23 07:18:07,55.7435,-97.8558,-0.24,85,90,5.75
26,Kodiak,US,2021-11-23 07:18:08,57.79,-152.4072,15.31,53,1,11.5
27,Rikitea,PF,2021-11-23 07:18:10,-23.1203,-134.9692,75.92,79,0,8.48
28,Daru,PG,2021-11-23 07:18:11,-9.0763,143.2092,84.42,69,4,9.01
29,Yerky,UA,2021-11-23 07:18:11,48.9906,30.9882,34.79,80,100,4.76
30,Cabo San Lucas,MX,2021-11-23 07:18:12,22.8909,-109.9124,72.52,78,11,5.01
31,Toowoomba,AU,2021-11-23 07:18:13,-27.55,151.9667,66.25,93,93,5.01
32,Sao Joao Da Barra,BR,2021-11-23 07:18:14,-21.6403,-41.0511,66.94,79,7,4.99
33,Ibotirama,BR,2021-11-23 07:18:15,-12.1853,-43.2206,74.7,79,100,2.39
34,Waipawa,NZ,2021-11-23 07:18:16,-41.4122,175.5153,56.44,80,31,4.7
35,Saint-Philippe,RE,2021-11-23 07:18:17,-21.3585,55.7679,83.75,63,5,9.98
36,Souillac,MU,2021-11-23 07:13:33,-20.5167,57.5167,82.36,55,6,10.09
37,Henties Bay,NA,2021-11-23 07:18:18,-22.116,14.2845,57.85,81,14,4.38
38,Asau,RO,2021-11-23 07:16:59,46.4333,26.4,40.75,99,100,4.18
39,Punta Arenas,CL,2021-11-23 07:15:30,-53.15,-70.9167,39.31,81,90,10.36
40,Komsomolskiy,UZ,2021-11-23 07:18:20,40.4272,71.7189,54.32,32,84,2.3
41,Mataura,NZ,2021-11-23 07:18:21,-46.1927,168.8643,56.44,65,8,5.06
42,Nagato,JP,2021-11-23 07:18:22,34.3833,131.2,55.2,60,100,22.5
43,Kapaa,US,2021-11-23 07:18:23,22.0752,-159.319,79.12,79,90,1.99
44,Talara,PE,2021-11-23 07:18:24,-4.5772,-81.2719,64.89,86,96,9.91
45,Upernavik,GL,2021-11-23 07:18:25,72.7868,-56.1549,0.18,80,11,6.26
46,Pisco,PE,2021-11-23 07:19:26,-13.7,-76.2167,65.01,88,90,10.36
47,East London,ZA,2021-11-23 07:17:21,-33.0153,27.9116,63.54,94,90,21.85
48,Suleja,NG,2021-11-23 07:19:28,9.1758,7.1808,76.19,40,68,2.95
49,Nacala,MZ,2021-11-23 07:19:29,-14.5428,40.6728,87.12,62,75,11.5
50,Chuy,UY,2021-11-23 07:19:30,-33.6971,-53.4616,60.71,68,3,14.45
51,Praia Da Vitoria,PT,2021-11-23 07:19:31,38.7333,-27.0667,63.75,100,40,14.79
52,Pochutla,MX,2021-11-23 07:19:32,15.7432,-96.4661,73.81,77,67,3.74
