City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tasiilaq,GL,65.6145,-37.6368,26.76,96,100,0.87,snow
1,Rikitea,PF,-23.1203,-134.9692,75.88,80,63,17.09,light rain
2,Barrow,US,71.2906,-156.7887,-5.78,77,90,9.22,haze
3,Aksu,CN,41.1231,80.2644,36.27,51,12,4.7,few clouds
4,The Valley,AI,18.217,-63.0578,78.66,72,1,13.42,clear sky
5,Richards Bay,ZA,-28.783,32.0377,77.34,55,100,19.04,overcast clouds
6,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,72,90,13.8,overcast clouds
7,Ushuaia,AR,-54.8,-68.3,49.66,53,40,19.57,light rain
8,Puerto Ayora,EC,-0.7393,-90.3518,68.2,82,87,8.48,overcast clouds
9,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,14.59,62,0,8.95,clear sky
10,Aklavik,CA,68.2191,-135.0107,-15.77,83,36,16.91,scattered clouds
11,Acapulco,MX,16.8634,-99.8901,76.41,79,67,4.52,broken clouds
12,Jamestown,US,42.097,-79.2353,31.32,93,90,3.44,light snow
13,Zaozerne,UA,45.1582,33.2787,56.98,87,100,18.28,overcast clouds
14,North Bend,US,43.4065,-124.2243,55.31,100,90,4.61,overcast clouds
15,Severnyy,RU,50.677,36.5532,44.64,100,90,4.47,fog
16,Saldanha,ZA,-33.0117,17.9442,64.45,88,98,8.61,light rain
17,Bluff,NZ,-46.6,168.3333,55.22,63,3,5.39,clear sky
18,Takayama,JP,36.1333,137.25,45.41,61,1,4.29,clear sky
19,Tuy Hoa,VN,13.0833,109.3,76.87,93,100,9.48,overcast clouds
20,Eyl,SO,7.9803,49.8164,86.59,56,28,15.84,scattered clouds
21,Ponta Do Sol,PT,32.6667,-17.1,63.23,73,63,6.8,broken clouds
22,Pochutla,MX,15.7432,-96.4661,73.02,69,100,2.55,overcast clouds
23,Thompson,CA,55.7435,-97.8558,15.96,79,90,10.36,overcast clouds
24,Hilo,US,19.7297,-155.09,73.13,88,90,6.91,light rain
25,Hami,CN,42.8,93.45,28.85,58,6,4.47,clear sky
26,Vaini,TO,-21.2,-175.2,80.76,83,75,11.5,light rain
27,Ippy,CF,6.2679,21.2247,80.64,31,100,3.24,overcast clouds
28,Fort Nelson,CA,58.8053,-122.7002,2.79,78,90,11.5,light snow
29,Busselton,AU,-33.65,115.3333,82.08,40,100,13.38,overcast clouds
30,Albany,US,42.6001,-73.9662,26.47,71,100,4.54,overcast clouds
31,Saint-Philippe,RE,-21.3585,55.7679,83.75,84,96,5.23,light rain
32,Punta Arenas,CL,-53.15,-70.9167,50.11,57,90,13.8,overcast clouds
33,Bredasdorp,ZA,-34.5322,20.0403,68.76,71,97,17.38,overcast clouds
34,Saint George,US,37.1041,-113.5841,48.79,25,1,4.61,clear sky
35,Cape Town,ZA,-33.9258,18.4232,63.01,100,75,10.36,light intensity drizzle
36,Laguna,US,38.421,-121.4238,57.02,93,1,3.44,clear sky
37,Jian,CN,27.1172,114.9793,66.02,54,6,5.26,clear sky
38,Nantucket,US,41.2835,-70.0995,30.31,60,99,20.09,overcast clouds
39,Dingle,PH,10.9995,122.6711,83.93,78,100,11.52,overcast clouds
40,Syracuse,IT,37.0881,15.2792,60.85,79,100,28.05,heavy intensity rain
41,Clyde River,CA,70.4692,-68.5914,-9.76,97,94,6.29,overcast clouds
42,East London,ZA,-33.0153,27.9116,76.14,64,0,3.44,clear sky
43,Inirida,CO,3.8653,-67.9239,72.63,97,78,1.72,broken clouds
44,Hobart,AU,-42.8794,147.3294,62.46,63,20,20.71,few clouds
45,Burgeo,CA,47.6167,-57.6152,42.69,76,76,21.81,broken clouds
46,La Serena,CL,-29.9078,-71.2542,56.71,82,0,2.3,clear sky
47,Ahipara,NZ,-35.1667,173.1667,64.45,79,100,2.37,light rain
48,Maceio,BR,-9.6658,-35.7353,76.44,88,20,4.61,few clouds
49,Ridgecrest,US,35.6225,-117.6709,56.7,16,0,2.04,clear sky
